invert_x,norm_row_y,head,soilMUSYM,soilkSat_1,soilOM_R_1
87,59,477.9984,W,0,0
63,59,481.632,W,0,0
109,4,464.5602,W,0,0
18,56,486.0313,EmE,141,0.27
52,22,479.0238,Gr,37.9067,63.51
42,19,480.6595,Gr,37.9067,63.51
71,22,473.9639,Gr,37.9067,63.51
1,27,483.6527,Gr,37.9067,63.51
13,33,484.5443,Gr,37.9067,63.51
53,31,479.6704,Gr,37.9067,63.51
72,30,475.729,Gr,37.9067,63.51
99,33,472.6941,Gr,37.9067,63.51
53,37,480.2122,Gr,37.9067,63.51
94,2,468.8232,Gr,37.9067,63.51
52,6,477.7393,Gr,37.9067,63.51
19,7,481.7355,Gr,37.9067,63.51
49,3,478.2295,Gr,37.9067,63.51
8,6,481.1221,Gr,37.9067,63.51
80,2,470.4064,Gr,37.9067,63.51
42,4,479.6749,Gr,37.9067,63.51
102,6,467.3694,Gr,37.9067,63.51
33,2,480.5661,Gr,37.9067,63.51
88,59,477.8555,Gr,37.9067,63.51
52,0,477.3261,GoB,9,0.64
59,8,475.8553,GoB,9,0.64
66,3,472.256,GoB,9,0.64
3,37,485.0369,GoB,9,0.64
30,3,480.885,PbD,37.2244,0.59
85,7,470.6834,PbD,37.2244,0.59
108,12,465.7927,PbD,37.2244,0.59
103,18,468.5438,PbD,37.2244,0.59
109,22,466.6864,PbD,37.2244,0.59
0,55,486.5184,PeC,64.7321,0.51
3,59,486.6331,PeC,64.7321,0.51
85,33,474.887,PbC,35.8173,0.59
39,42,483.2925,PbC,35.8173,0.59
104,58,475.5563,PbC,35.8173,0.59
23,0,481.0502,PeB,62.885,0.52
101,5,467.5603,PeB,62.885,0.52
68,14,473.1895,PeB,62.885,0.52
37,15,481.0475,PeB,62.885,0.52
58,19,477.2947,PeB,62.885,0.52
59,30,478.4971,PeB,62.885,0.52
42,39,482.5573,PeB,62.885,0.52
10,49,485.9908,PeB,62.885,0.52
12,56,486.2597,PeB,62.885,0.52
43,1,479.2553,Gr,37.9067,63.51
85,0,469.7804,Gr,37.9067,63.51
109,35,470.476,Gr,37.9067,63.51
78,38,476.6158,Gr,37.9067,63.51
10,45,485.7171,Gr,37.9067,63.51
62,43,480.1707,Gr,37.9067,63.51
20,46,485.3835,Gr,37.9067,63.51
103,42,473.7148,Gr,37.9067,63.51
63,47,480.4612,Gr,37.9067,63.51
104,44,473.8851,Gr,37.9067,63.51
59,50,481.3692,Gr,37.9067,63.51
7,56,486.3759,Gr,37.9067,63.51
79,51,478.4856,Gr,37.9067,63.51
73,50,479.0582,Gr,37.9067,63.51
64,53,480.9386,Gr,37.9067,63.51
9,59,486.4721,Gr,37.9067,63.51
92,55,476.9436,Gr,37.9067,63.51
57,57,482.2219,Gr,37.9067,63.51
0,27,483.6822,PeC,64.7321,0.51
0,24,483.0851,PeC,64.7321,0.51
106,59,475.3774,KnC,100.6514,0.96
108,58,474.9802,KnC,100.6514,0.96
22,59,485.9415,PeD,64.7321,0.51
25,59,485.758,PeD,64.7321,0.51
16,42,485.2682,PeD,64.7321,0.51
14,1,480.9873,PeD,64.7321,0.51
22,1,481.1459,PeD,64.7321,0.51
109,9,465.1391,Fh,47.0592,6.62
109,3,464.4875,Fh,47.0592,6.62
105,58,475.4247,PbD,37.2244,0.59
98,57,476.2891,PbD,37.2244,0.59
108,48,473.8004,PbC,35.8173,0.59
109,42,472.3816,PbC,35.8173,0.59
4,59,486.6082,PeB,62.885,0.52
0,58,486.6606,PeB,62.885,0.52
0,59,486.7022,,0,0
1,59,486.6806,,0,0
2,59,486.6576,,0,0
5,59,486.583,,0,0
6,59,486.5579,,0,0
7,59,486.5299,,0,0
8,59,486.5013,,0,0
10,59,486.4446,,0,0
11,59,486.4145,,0,0
12,59,486.3843,,0,0
13,59,486.3511,,0,0
14,59,486.3153,,0,0
15,59,486.278,,0,0
16,59,486.2386,,0,0
17,59,486.1975,,0,0
18,59,486.151,,0,0
19,59,486.1014,,0,0
20,59,486.0516,,0,0
21,59,485.9981,,0,0
23,59,485.8828,,0,0
24,59,485.8215,,0,0
26,59,485.6925,,0,0
27,59,485.6239,,0,0
28,59,485.5532,,0,0
29,59,485.4807,,0,0
30,59,485.4062,,0,0
31,59,485.3289,,0,0
32,59,485.2497,,0,0
33,59,485.165,,0,0
34,59,485.0747,,0,0
35,59,484.9796,,0,0
36,59,484.8821,,0,0
37,59,484.784,,0,0
38,59,484.6821,,0,0
39,59,484.5808,,0,0
40,59,484.475,,0,0
41,59,484.3658,,0,0
42,59,484.2502,,0,0
43,59,484.1319,,0,0
44,59,484.0142,,0,0
45,59,483.8944,,0,0
46,59,483.7715,,0,0
47,59,483.6469,,0,0
48,59,483.5225,,0,0
49,59,483.3941,,0,0
50,59,483.2636,,0,0
51,59,483.1312,,0,0
52,59,482.9972,,0,0
53,59,482.8631,,0,0
54,59,482.7291,,0,0
55,59,482.5879,,0,0
56,59,482.4417,,0,0
57,59,482.3033,,0,0
58,59,482.1733,,0,0
59,59,482.0515,,0,0
60,59,481.9267,,0,0
61,59,481.752,,0,0
62,59,481.6562,,0,0
64,59,481.6306,,0,0
65,59,481.5551,,0,0
66,59,481.313,,0,0
68,59,480.7668,,0,0
69,59,480.4927,,0,0
70,59,480.2269,,0,0
71,59,479.9931,,0,0
72,59,479.8108,,0,0
73,59,479.6893,,0,0
74,59,479.6068,,0,0
75,59,479.5371,,0,0
76,59,479.4531,,0,0
77,59,479.327,,0,0
78,59,479.1869,,0,0
79,59,479.0478,,0,0
80,59,478.9121,,0,0
81,59,478.7827,,0,0
82,59,478.6548,,0,0
83,59,478.5292,,0,0
84,59,478.4033,,0,0
85,59,478.2708,,0,0
86,59,478.1324,,0,0
90,59,477.5718,,0,0
91,59,477.4337,,0,0
92,59,477.2948,,0,0
94,59,477.0176,,0,0
95,59,476.8807,,0,0
96,59,476.744,,0,0
97,59,476.6093,,0,0
98,59,476.4758,,0,0
99,59,476.3372,,0,0
100,59,476.1968,,0,0
101,59,476.0576,,0,0
102,59,475.9184,,0,0
103,59,475.7796,,0,0
104,59,475.6474,,0,0
105,59,475.5175,,0,0
107,59,475.2331,,0,0
108,59,475.0864,,0,0
109,59,474.9435,,0,0
1,58,486.6375,,0,0
2,58,486.6132,,0,0
3,58,486.5876,,0,0
4,58,486.5613,,0,0
5,58,486.5354,,0,0
6,58,486.5103,,0,0
7,58,486.4844,,0,0
8,58,486.4565,,0,0
9,58,486.4301,,0,0
10,58,486.4027,,0,0
11,58,486.3738,,0,0
12,58,486.3446,,0,0
13,58,486.3113,,0,0
14,58,486.276,,0,0
15,58,486.2391,,0,0
16,58,486.2006,,0,0
17,58,486.1587,,0,0
18,58,486.1131,,0,0
19,58,486.0651,,0,0
20,58,486.0147,,0,0
21,58,485.9613,,0,0
22,58,485.9054,,0,0
24,58,485.7848,,0,0
25,58,485.7211,,0,0
26,58,485.6552,,0,0
27,58,485.5866,,0,0
28,58,485.5157,,0,0
29,58,485.4426,,0,0
30,58,485.367,,0,0
31,58,485.2888,,0,0
32,58,485.2088,,0,0
34,58,485.0356,,0,0
35,58,484.9398,,0,0
36,58,484.8418,,0,0
37,58,484.744,,0,0
38,58,484.6415,,0,0
39,58,484.5375,,0,0
40,58,484.429,,0,0
41,58,484.3172,,0,0
42,58,484.2016,,0,0
43,58,484.083,,0,0
44,58,483.9655,,0,0
45,58,483.8445,,0,0
46,58,483.7211,,0,0
47,58,483.597,,0,0
48,58,483.4729,,0,0
49,58,483.3465,,0,0
50,58,483.215,,0,0
51,58,483.0809,,0,0
53,58,482.8158,,0,0
54,58,482.6808,,0,0
55,58,482.5448,,0,0
56,58,482.4035,,0,0
57,58,482.2669,,0,0
58,58,482.139,,0,0
59,58,482.0202,,0,0
60,58,481.9064,,0,0
61,58,481.7954,,0,0
62,58,481.7257,,0,0
63,58,481.6654,,0,0
64,58,481.6383,,0,0
65,58,481.4486,,0,0
66,58,481.1958,,0,0
67,58,480.9229,,0,0
68,58,480.6461,,0,0
69,58,480.368,,0,0
70,58,480.0916,,0,0
71,58,479.8714,,0,0
72,58,479.7303,,0,0
73,58,479.6324,,0,0
74,58,479.5569,,0,0
75,58,479.4869,,0,0
76,58,479.3977,,0,0
77,58,479.2639,,0,0
78,58,479.127,,0,0
